,City,region,Res_Comm,mkt_type,Quradate,National_exp,Alabama_exp,Sales_exp,Inventory_exp,Price_exp,Credit_exp
10623,Bessemer,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,3.0,3.0,4.0,2.0,3.0
4091,Harvest,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2011-07-15,3.0,4.0,4.0,3.0,4.0,2.0
5344,Dauphin Island,South_Mobile-Baldwin,Residential,Suburban_Urban,2011-07-15,4.0,4.0,4.0,4.0,2.0,2.0
13981,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2011-07-15,3.0,3.0,3.0,3.0,3.0,3.0
5343,Ariton,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Rural,2011-07-15,3.0,4.0,4.0,3.0,3.0,3.0
4640,Anniston,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,2.0,3.0,2.0,2.0,1.0
10160,Pelham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,2.0,3.0,3.0,2.0,2.0,3.0
10919,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2011-07-15,3.0,3.0,3.0,3.0,2.0,2.0
5813,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2011-07-15,3.0,3.0,3.0,2.0,3.0,2.0
4868,McCalla,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,2.0,3.0,2.0,3.0,3.0,2.0
13816,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,1.0,1.0,1.0,2.0,2.0,2.0
4873,Homewood,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,2.0,3.0,2.0,2.0,3.0
1842,Rainbow City,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,2.0,2.0,2.0,2.0,1.0
4876,Gadsden,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Rural,2011-07-15,1.0,2.0,3.0,3.0,2.0,2.0
11375,Dothan,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2011-07-15,3.0,3.0,2.0,2.0,2.0,1.0
10569,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2011-07-15,3.0,3.0,3.0,3.0,2.0,3.0
1613,Mobile,South_Mobile-Baldwin,Residential,Suburban_Urban,2011-07-15,3.0,3.0,4.0,3.0,3.0,4.0
10957,Gulf Shores,South_Mobile-Baldwin,Residential,Suburban_Urban,2011-07-15,3.0,3.0,4.0,4.0,3.0,3.0
6555,Athens,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2011-07-15,2.0,3.0,3.0,2.0,2.0,2.0
4104,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Commercial,Suburban_Urban,2011-07-15,2.0,2.0,3.0,3.0,2.0,3.0
13777,Birmingham ,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,4.0,4.0,4.0,3.0,4.0
11789,Gulf Shores,South_Mobile-Baldwin,Residential,Suburban_Urban,2011-07-15,2.0,2.0,4.0,3.0,2.0,2.0
7127,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2011-07-15,3.0,3.0,4.0,4.0,4.0,4.0
1875,birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,3.0,3.0,4.0,3.0,3.0
6545,HUNTSVILLE,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2011-07-15,1.0,1.0,1.0,1.0,1.0,1.0
11371,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,3.0,3.0,3.0,2.0,3.0
5382,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,3.0,3.0,3.0,3.0,3.0
10602,Wetumpka,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Rural,2011-07-15,2.0,2.0,2.0,3.0,1.0,1.0
965,Foley,South_Mobile-Baldwin,Residential,Suburban_Urban,2011-07-15,2.0,3.0,3.0,3.0,3.0,2.0
1866,Hoover,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Rural,2011-07-15,2.0,2.0,2.0,2.0,2.0,1.0
6359,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2011-07-15,3.0,4.0,3.0,2.0,2.0,4.0
11279,Clanton,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Rural,2011-07-15,3.0,2.0,2.0,2.0,2.0,2.0
10890,Birmingham,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2011-07-15,2.0,3.0,2.0,2.0,2.0,2.0
6355,MOBILE,South_Mobile-Baldwin,Residential,Suburban_Urban,2011-07-15,3.0,3.0,3.0,2.0,2.0,3.0
618,Foley,South_Mobile-Baldwin,Residential,Suburban_Urban,2011-07-15,2.0,3.0,3.0,3.0,2.0,2.0
5781,"Birmingham,",North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,3.0,3.0,3.0,3.0,2.0
899,Northport,North_Central-Birmingham-Tuscaloosa-Anniston,Commercial,Suburban_Urban,2011-07-15,2.0,4.0,3.0,4.0,4.0,2.0
3819,Mobile,South_Mobile-Baldwin,Commercial,Suburban_Urban,2011-07-15,3.0,4.0,4.0,4.0,3.0,3.0
10865,Monroeville,South_Mobile-Baldwin,Residential,Rural,2011-07-15,3.0,3.0,3.0,2.0,3.0,2.0
6341,Florence,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2011-07-15,2.0,2.0,2.0,4.0,4.0,2.0
13596,Ariton,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Rural,2011-07-15,4.0,4.0,4.0,4.0,3.0,3.0
11267,Daleville,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Rural,2011-07-15,2.0,3.0,3.0,2.0,2.0,2.0
9845,Bimingham,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,3.0,4.0,4.0,3.0,2.0,3.0
7142,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2011-07-15,2.0,2.0,2.0,3.0,2.0,3.0
4859,Jasper,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Rural,2011-07-15,3.0,3.0,2.0,3.0,4.0,1.0
4078,Huntsville,North_Huntsville-Decatur-Florence,Residential,Suburban_Urban,2011-07-15,3.0,2.0,2.0,2.0,2.0,3.0
4646,Tuscaloosa,North_Central-Birmingham-Tuscaloosa-Anniston,Residential,Suburban_Urban,2011-07-15,5.0,5.0,4.0,3.0,4.0,2.0
4086,Montgomery,South_Central-Montgomery-Auburn-Wiregrass-Dothan,Residential,Suburban_Urban,2011-07-15,2.0,2.0,2.0,2.0,2.0,3.0
